EventId,EventTemplate,Occurrences
303784d5,[instance: <*>f<*>bdd-<*>-<*>f<*>a-<*>b<*>-f<*>fb<*>b<*>c] Took <*>.<*> seconds to deallocate network for instance.,1
a7a4ff84,Unknown base file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1951
6a30fe6e,Removable base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1951
f5f5f70f,Removing base or swap file: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,1313
bd2f529c,"<*> ""GET <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",57443
e7c5c93a,"<*> ""POST <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",3938
7ba94b2a,"[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
325bef1e,"[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] <*> <*> <*> MB, <*> <*>.<*> MB",2
5e8e6029,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Total <*> <*> <*> used: <*>.<*> <*>,2
91c11846,"[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] <*> limit not specified, defaulting to unlimited",2
1972403c,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] <*> <*>,3
02dc86ea,[instance: <*>ffab<*>b-<*>ae<*>-<*>a-a<*>a<*>-<*>d<*>a<*>] VM Stopped (Lifecycle Event),1
cd180c04,[instance: <*>f<*>bdd-<*>-<*>f<*>a-<*>b<*>-f<*>fb<*>b<*>c] VM Stopped (Lifecycle Event),1
304a219c,Auditing locally available compute resources for node cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,1226
f436579e,"Total usable vcpus: <*>, total allocated vcpus: <*>",1226
5935193a,Final resource view: name=cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us phys_ram=<*>MB used_ram=<*>MB phys_disk=<*>GB used_disk=<*>GB total_vcpus=<*> used_vcpus=<*> pci_stats=[],1226
9d6775a4,Compute_service record updated for cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us:cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us,1226
8970be39,image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>checking,9128
d7d096ad,"image <*>dd<*>-<*>c<*>-<*>fbb-<*>c<*>-<*>fbe<*>b<*> at (<*>in use: on this node <*> local, <*> on other nodes sharing this instance storage",9128
7bc5d64e,Active base files: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,9121
297d620e,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] VM <*> (Lifecycle Event),5
c9a19c57,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] During sync_power_state the instance has a pending task (spawning). Skip.,2
16f9f039,Creating event <*> for instance <*>,1313
4c85c378,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Instance <*> successfully.,2
26b9cb28,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
61721674,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Took <*>.<*> seconds to build instance.,1
b07a374b,"<*> ""DELETE <*>HTTP<*>status: <*> len: <*> time: <*>.<*>",1312
31e246b4,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Deleting instance files /var/lib/nova/instances/<*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>_del,1
a20c9496,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Deletion of <*>complete,1
58117b26,[instance: <*>a<*>-<*>b<*>-<*>ab-<*>a<*>-<*>c<*>bc<*>c<*>e<*>] Took <*>.<*> seconds to deallocate network for instance.,1
66acd71e,HTTP exception thrown: No instances found for any event,1312
732653ea,Successfully synced instances from host 'cp-<*>.slowvm<*>.tcloud-pg<*>.utah.cloudlab.us'.,384
40835f17,"[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
99704bf6,"[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] <*> <*> <*> MB, <*> <*>.<*> MB",2
dc18310f,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Total <*> <*> <*> used: <*>.<*> <*>,2
02bcaa3c,"[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] <*> limit not specified, defaulting to unlimited",2
0b964187,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] <*> <*>,3
e296af58,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] VM <*> (Lifecycle Event),5
510850bb,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] During sync_power_state the instance has a pending task (spawning). Skip.,2
03097ddb,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Instance <*> successfully.,2
1918dbed,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
72e49b56,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Took <*>.<*> seconds to build instance.,1
27a94d64,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Deleting instance files /var/lib/nova/instances/<*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc_del,1
de72bc70,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Deletion of <*>complete,1
f75efc9c,[instance: <*>c<*>-<*>f-<*>b<*>b-b<*>-<*>ccc<*>faf<*>dc] Took <*>.<*> seconds to deallocate network for instance.,1
13866240,Base or swap file too young to remove: /var/lib/nova/instances/_base/a<*>c<*>f<*>c<*>da<*>b<*>c<*>bb<*>ac<*>e<*>,638
50659802,"[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Attempting claim: memory <*> MB, disk <*> GB, vcpus <*> CPU",1
de874ecd,"[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] <*> <*> <*> MB, <*> <*>.<*> MB",2
8d8fba1a,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Total <*> <*> <*> used: <*>.<*> <*>,2
1aa49d85,"[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] <*> limit not specified, defaulting to unlimited",2
8ac7f666,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] <*> <*>,3
dea7b890,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] VM <*> (Lifecycle Event),5
7a0aab21,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] During sync_power_state the instance has a pending task (spawning). Skip.,1
a985c69d,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Instance <*> successfully.,2
2b4b273a,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Took <*>.<*> seconds to <*> the instance on the hypervisor.,2
42e67cc5,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Took <*>.<*> seconds to build instance.,1
358f3c8e,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Deleting instance files /var/lib/nova/instances/f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>_del,1
a878e2d3,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Deletion of <*>complete,1
65589873,[instance: f<*>ef<*>-ff<*>-<*>b-bc<*>b-c<*>a<*>ff<*>] Took <*>.<*> seconds to deallocate network for instance.,1
